Product Title,Product SKU,Product Information,Sales Per Case
CLEVER CANDY DEXTROSE BABY LOVE HEARTS,"SKU
29647","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
694780230124


GTIN (case)
10694780230121


Pieces/LB
798


Country of Manufacture
Canada


Pallet Pattern
16 cases per layer, 4 layers. 64 total cases per pallet.",
CLEVER CANDY DEXTROSE BLOODY BONES,"SKU
23550","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Halloween


UPC
618645235505


GTIN (case)
10694780217702


Certifications
Gluten Free


Pieces/LB
353


Country of Manufacture
Canada


Pallet Pattern
25 cases per layer, 6 layers. 150 total cases per pallet.",
CLEVER CANDY DEXTROSE DING BATS,"SKU
30405","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Halloween


UPC
618645304058


GTIN (case)
10694780207321


Certifications
Gluten Free


Pieces/LB
470


Country of Manufacture
Canada


Pallet Pattern
25 cases per layer, 6 layers. 150 total cases per pallet.",
CLEVER CANDY DEXTROSE FLOWER GARDEN MIX UP,"SKU
24949","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Easter


UPC
618645249496


GTIN (case)
10694780222300


Pieces/LB
343


Country of Manufacture
Canada",
CLEVER CANDY DEXTROSE FUNNY BONES,"SKU
31389","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
618645313890


GTIN (case)
10694780207314


Pieces/LB
378


Country of Manufacture
Canada


Pallet Pattern
4 cases per layer, 16 layers. 64 total cases per pallet.",
CLEVER CANDY DEXTROSE HALLOWEEN MIX,"SKU
46432","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


Occasion
Halloween


UPC
618645464325


GTIN (case)
10694780120309


Certifications
Gluten Free


Pieces/LB
574


Country of Manufacture
Canada


Pallet Pattern
16 cases per layer, 4 layers. 64 total cases per pallet.",
CLEVER CANDY DEXTROSE RAINBOW HEARTS,"SKU
31229","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645312299


GTIN (case)
10694780230060


Pieces/LB
798


Country of Manufacture
Canada",
CLEVER CANDY DEXTROSE YELLOW RUBBER DUCKIES,"SKU
25565","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


Occasion
Easter


UPC
618645255657


GTIN (case)
10694780182017


Pieces/LB
314


Country of Manufacture
Canada",
CLEVER CANDY EGGCITED MILK CHOCOLATE 1.75 OZ BAR,"SKU
52537","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Easter


UPC
618645525378


Country of Manufacture
United States


Pallet Pattern
39 cases per layer, 5 layers. 195 total cases per pallet.",
CLEVER CANDY FAMILY SIZE S'MORES KIT 9.5 OZ,"SKU
42324","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
718442512745


Country of Manufacture
United States


Pallet Pattern
8 cases per layer, 8 layers. 64 total cases per pallet.",
CLEVER CANDY FLAKE IT TILL YOU MAKE IT 4 OZ PEG BAG,"SKU
51854","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


Occasion
Christmas


UPC
618645518547


GTIN (case)
10618645518544


Country of Manufacture
Spain


Pallet Pattern
31 cases per layer, 7 layers. 217 total cases per pallet.",
CLEVER CANDY FLASHY FROGS 4 OZ PEG BAG,"SKU
50823","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645508234


Country of Manufacture
United States


Pallet Pattern
18 cases per layer, 9 layers. 162 total cases per pallet.",
CLEVER CANDY FOIL BUNNY EARS PINK/BROWN SOLID MILK CHOCOLATE 3 OZ,"SKU
30136","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Easter


UPC
618645301361


Country of Manufacture
United States",
CLEVER CANDY FOILED SOLID MILK CHOCOLATE CARROT 3 OZ,"SKU
28794","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Easter


UPC
618645287948


Country of Manufacture
United States",
CLEVER CANDY FOILED SOLID MILK CHOCOLATE STOCKING 3 OZ,"SKU
29559","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Christmas


UPC
618645295592


GTIN (case)
10618645295599


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 16 layers. 192 total cases per pallet.",
CLEVER CANDY FROSTY'S FOREST RED GREEN & WHITE DEXTROSE CHRISTMAS MIX,"SKU
27815","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Christmas


UPC
694780217767


GTIN (case)
10694780217764


Certifications
Gluten Free


Pieces/LB
482


Country of Manufacture
Canada


Pallet Pattern
25 cases per layer, 6 layers. 150 total cases per pallet.",
CLEVER CANDY GIANT GUMMY BEAR ASSORTED 12 OZ,"SKU
48434","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645484347


Country of Manufacture
China",
CLEVER CANDY GIANT GUMMY SNAKES,"SKU
2596","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645025960


Pieces/LB
3


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
"CLEVER CANDY GOLD FOIL CHOCOLATEY CANDY KENNEDY COINS 1.5""","SKU
27211","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


UPC
618645272111


GTIN (case)
00041269700508


Pieces/LB
69


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 4 layers. 48 total cases per pallet.",
CLEVER CANDY GOLD TUTTI FRUTTI WRAPPED ROCK CANDY STICKS 0.6 OZ,"SKU
45747","More Information                    




More Information


Kosher
No


Brand
NASSAU CANDY


UPC
618645457471


GTIN (case)
10618645457478


Country of Manufacture
Hungary",
CLEVER CANDY GREEN FOILED SOLID MILK CHOCOLATE TREE  3 OZ,"SKU
51852","More Information                    




More Information


Kosher
Yes


Brand
CLEVER CANDY


Occasion
Christmas


UPC
618645518523


GTIN (case)
10618645518520


Country of Manufacture
United States


Pallet Pattern
12 cases per layer, 16 layers. 192 total cases per pallet.",
CLEVER CANDY GREEN GUMBALLS APPLE FLAVORED 850 CT,"SKU
50661","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645506612


Country of Manufacture
China",
CLEVER CANDY GREEN WRAPPED ROCK CANDY STICKS 0.6 OZ,"SKU
45749","More Information                    




More Information


Kosher
No


Brand
NASSAU CANDY


UPC
618645457495


GTIN (case)
10618645457492


Country of Manufacture
Hungary",
CLEVER CANDY GUMMY 3D DINOSAURS,"SKU
48697","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645486976


Pallet Pattern
10 cases per layer, 15 layers. 150 total cases per pallet.",
CLEVER CANDY GUMMY 3D GEMS,"SKU
48699","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645486990


Pallet Pattern
10 cases per layer, 15 layers. 150 total cases per pallet.",
CLEVER CANDY GUMMY APPLE RINGS,"SKU
30501","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645305017


Pieces/LB
63


Country of Manufacture
Brazil


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
CLEVER CANDY GUMMY BEARS,"SKU
781","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645007812


GTIN (case)
10618645007819


Pieces/LB
160


Country of Manufacture
Brazil


Pallet Pattern
12 cases per layer, 7 layers. 84 total cases per pallet.",
CLEVER CANDY GUMMY BEARS ENERGY FILLED,"SKU
18665","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645186654


Pieces/LB
90


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
CLEVER CANDY GUMMY BEARS GIANT TEDDY BEARS,"SKU
29114","More Information                    




More Information


Kosher
No


Brand
CLEVER CANDY


UPC
618645291143


Certifications
Gluten Free


Pieces/LB
13


Country of Manufacture
Spain


Pallet Pattern
9 cases per layer, 9 layers. 81 total cases per pallet.",
